Iteration,Density,CheckPoints,CellularIterations,Height,Width,PathLength_Level1,NodesExplored_Level1,Time_Level1,PathLength_Level2,NodesExplored_Level2,Time_Level2,PathLength_Level3,NodesExplored_Level3,Time_Level3,PathLength_AStar,NodesExplored_AStar,Time_AStar
1,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,5,0,1,0
2,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,35,0
3,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
4,density,numberOfCheckPoints,cellularIterations,height,width,24,20,1,27,23,1,35,29,4,19,28,0
5,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
6,density,numberOfCheckPoints,cellularIterations,height,width,0,0,2,0,0,1,0,0,0,0,4096,16
7,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,5752,25
8,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,52,0
9,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,21,0
10,density,numberOfCheckPoints,cellularIterations,height,width,0,0,5,0,0,7,0,0,1,0,6719,30
11,density,numberOfCheckPoints,cellularIterations,height,width,22,18,2,25,20,2,30,25,4,19,19,0
12,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
13,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
14,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,25,20,2,30,25,4,19,19,0
15,density,numberOfCheckPoints,cellularIterations,height,width,25,21,1,27,22,2,32,27,3,19,19,0
16,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,19,19,0
17,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,19,19,0
18,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
19,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,25,20,1,30,25,7,19,19,0
20,density,numberOfCheckPoints,cellularIterations,height,width,0,0,2,0,0,1,0,0,0,0,3105,12
21,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,1,0,861,3
22,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,25,20,1,35,28,4,19,19,0
23,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
24,density,numberOfCheckPoints,cellularIterations,height,width,22,18,1,25,20,2,30,25,3,19,19,0
25,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,5,0,39,0
26,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,9,0
27,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,25,20,2,30,25,3,19,19,0
28,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
29,density,numberOfCheckPoints,cellularIterations,height,width,0,0,5,0,0,2,0,0,6,0,6499,28
30,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,47,0
31,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,11,0
32,density,numberOfCheckPoints,cellularIterations,height,width,23,19,2,30,26,2,30,26,3,19,19,0
33,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,4,0,57,0
34,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,5694,24
35,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,53,192,0
36,density,numberOfCheckPoints,cellularIterations,height,width,23,20,1,23,20,2,32,29,3,19,19,0
37,density,numberOfCheckPoints,cellularIterations,height,width,0,0,4,0,0,2,0,0,5,0,5331,22
38,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,25,20,2,30,25,3,19,19,0
39,density,numberOfCheckPoints,cellularIterations,height,width,22,17,1,25,20,2,0,0,0,19,19,0
40,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,108,0
41,density,numberOfCheckPoints,cellularIterations,height,width,0,0,5,0,0,2,0,0,4,0,6184,31
42,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,2,0,1,0
43,density,numberOfCheckPoints,cellularIterations,height,width,0,0,5,0,0,2,0,0,1,0,6461,29
44,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,23,19,2,32,28,5,19,19,0
45,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,23,19,2,46,39,4,19,19,0
46,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,25,20,2,33,26,3,19,19,0
47,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,3,0,0,6,0,1,0
48,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
49,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
50,density,numberOfCheckPoints,cellularIterations,height,width,22,18,1,25,20,5,30,25,10,19,19,0
